Site	Tag#	Species	x	y	Cored?	Year_1st_rec	Mort_Yr	Trunk	F_15_DBH	Sp_16_DBH	Su_16_DBH	Su_17_DBH	Su_18_DBH	Su_19_DBH																					
SJ	33.00	ABCO	38.00	22.00	N	2015.00	NA	1.00	24.50	NA	25.10	25.20	25.40	26.30																					
SJ	34.00	ABCO	31.50	25.00	N	2015.00	2019.00	1.00	3.70	NA	3.90	3.90	3.70	3.80																					
SJ	35.00	ABCO	31.00	25.00	N	2015.00	NA	1.00	7.10	NA	7.00	7.20	7.30	7.70																					
SJ	36.00	ABCO	32.00	25.00	N	2015.00	NA	1.00	8.70	NA	7.60	7.70	7.80	7.80																					
SJ	37.00	ABCO	31.00	26.00	N	2015.00	NA	1.00	7.40	NA	7.80	8.50	8.60	8.10																					
SJ	38.00	ABCO	30.00	26.00	Y	2015.00	NA	1.00	25.30	NA	25.20	25.50	26.10	26.80																					
SJ	39.00	ABMA	22.00	56.00	N	2015.00	2019.00	1.00	21.30	NA	21.30	21.50	21.30	21.80																					
SJ	40.00	ABCO	23.00	56.00	N	2015.00	NA	1.00	16.90	NA	17.10	16.80	17.60	17.30																					
SJ	41.00	ABMA	24.00	55.50	N	2015.00	2019.00	1.00	21.00	NA	20.70	20.40	20.90	20.80																					
SJ	42.00	ABMA	25.00	55.00	N	2015.00	2019.00	1.00	30.50	NA	30.30	30.80	30.50	30.50																					
SJ	43.00	ABCO	25.00	54.00	N	2015.00	NA	1.00	8.10	NA	8.30	8.20	8.00	9.00																					
SJ	44.00	ABCO	26.00	54.00	N	2015.00	NA	1.00	7.50	NA	7.60	7.30	8.50	9.20																					
SJ	45.00	ABCO	26.00	55.50	N	2015.00	NA	1.00	20.50	NA	20.80	21.50	20.90	22.00																					
SJ	46.00	ABCO	22.50	59.00	N	2015.00	NA	1.00	26.20	NA	25.60	25.40	26.40	26.40																					
SJ	47.00	ABCO	28.50	55.50	N	2015.00	NA	1.00	15.70	NA	15.90	15.90	16.20	17.20																					
SJ	48.00	ABMA	30.00	54.50	N	2015.00	NA	1.00	28.70	NA	28.40	28.00	28.40	28.70																					
SJ	49.00	ABCO	26.00	54.00	N	2015.00	NA	1.00	32.50	NA	33.00	34.10	33.50	34.10																					
SJ	50.00	ABCO	25.00	54.00	N	2015.00	NA	1.00	11.80	NA	11.90	11.80	11.90	12.00																					
SJ	51.00	ABMA	22.00	53.00	N	2015.00	2019.00	1.00	35.00	NA	35.60	35.10	34.70	35.10																					
SJ	52.00	ABCO	20.00	53.50	N	2015.00	NA	1.00	34.70	NA	35.30	37.40	36.00	37.50																					
SJ	53.00	ABCO	23.00	52.00	N	2015.00	NA	1.00	22.90	NA	23.40	24.50	23.40	23.80																					
SJ	54.00	ABCO	23.50	52.00	N	2015.00	NA	1.00	20.70	NA	21.50	23.80	21.30	21.30																					
SJ	55.00	ABMA	26.00	52.00	N	2015.00	NA	1.00	58.80	NA	58.80	58.40	59.20	38.80																					
SJ	56.00	ABCO	26.50	53.00	N	2015.00	NA	1.00	8.60	NA	9.00	9.20	9.00	9.70																					
SJ	57.00	ABCO	28.00	54.00	N	2015.00	2017.00	1.00	5.20	NA	6.20	5.00	NA	NA																					
SJ	58.00	ABCO	28.00	53.50	N	2015.00	NA	1.00	13.90	NA	14.30	14.20	14.00	14.70																					
SJ	59.00	ABMA	31.00	50.00	N	2015.00	NA	1.00	13.30	NA	13.40	13.80	14.40	14.00																					
SJ	60.00	ABCO	30.00	52.00	N	2015.00	NA	1.00	4.70	NA	4.80	4.20	4.10	5.30																					
SJ	61.00	ABCO	17.00	39.00	N	2015.00	NA	1.00	27.50	NA	28.60	28.50	28.70	29.60																					
SJ	62.00	ABMA	24.00	38.00	N	2015.00	NA	1.00	88.20	NA	88.30	90.00	88.00	87.20																					
SJ	63.00	ABCO	30.00	42.00	N	2015.00	2018.00	1.00	111.10	NA	109.30	110.40	108.00	NA																					
SJ	64.00	ABCO	30.00	42.00	N	2016.00	NA	2.00	111.10	NA	NA	NA	86.00	NA																					
SJ	64.00	ABMA	31.00	38.00	Y	2015.00	NA	1.00	65.20	NA	64.10	64.50	64.90	65.30																					
SJ	65.00	ABMA	38.00	36.00	Y	2015.00	NA	1.00	34.60	NA	44.30	45.00	45.50	45.30																					
SJ	66.00	ABMA	38.00	49.00	N	2015.00	NA	1.00	6.70	NA	7.00	6.30	7.70	7.20																					
SJ	67.00	ABMA	40.50	48.00	N	2015.00	NA	1.00	12.00	NA	12.40	13.00	12.70	14.30																					
SJ	68.00	ABMA	41.00	52.00	N	2015.00	NA	1.00	12.60	NA	5.10	4.90	5.40	5.80																					
SJ	69.00	ABMA	41.00	53.00	N	2015.00	2018.00	1.00	5.20	NA	4.90	5.10	5.40	NA																					
SJ	70.00	ABCO	41.00	55.00	N	2015.00	NA	1.00	2.10	NA	1.80	2.00	2.10	3.10																					
SJ	71.00	ABCO	39.00	62.00	N	2015.00	NA	1.00	14.80	NA	15.20	15.10	16.00	16.40																					
SJ	72.00	ABCO	44.50	59.00	N	2015.00	NA	1.00	18.20	NA	19.60	19.20	19.00	19.70																					
SJ	73.00	ABMA	44.00	59.00	N	2015.00	NA	1.00	29.20	NA	28.80	29.20	29.10	29.20																					
SJ	74.00	ABMA	45.00	60.00	N	2015.00	NA	1.00	5.10	NA	5.50	6.00	5.70	5.90																					
SJ	75.00	ABMA	46.00	59.00	N	2015.00	NA	1.00	44.30	NA	44.50	45.90	45.40	47.00																					
SJ	76.00	ABMA	45.00	57.00	N	2015.00	NA	1.00	23.20	NA	24.70	23.80	24.70	24.20																					
SJ	77.00	ABMA	47.50	59.00	N	2015.00	2018.00	1.00	2.30	NA	2.20	2.70	2.40	NA																					
SJ	78.00	ABCO	49.00	57.00	N	2015.00	NA	1.00	2.30	NA	3.60	3.50	3.50	3.80																					
SJ	79.00	ABCO	51.00	57.00	N	2015.00	NA	1.00	3.40	NA	3.40	3.90	4.20	4.20																					
SJ	80.00	ABMA	55.00	59.00	N	2015.00	NA	1.00	21.10	NA	23.20	23.50	22.90	23.70																					
SJ	677.00	ABMA	50.50	54.00	N	2015.00	NA	1.00	27.20	NA	27.90	27.70	28.30	29.10																					
SJ	82.00	ABCO	50.00	54.00	N	2015.00	NA	1.00	6.20	NA	6.70	7.20	7.60	7.80																					
SJ	83.00	ABCO	48.50	52.00	N	2015.00	NA	1.00	4.10	NA	4.30	4.70	6.20	5.30																					
SJ	84.00	ABCO	49.00	49.00	N	2015.00	NA	1.00	17.50	NA	18.50	18.50	19.20	20.30																					
SJ	85.00	ABCO	48.00	49.00	N	2015.00	NA	1.00	3.70	NA	3.90	4.00	4.00	4.00																					
SJ	86.00	ABMA	43.00	48.00	N	2015.00	2017.00	1.00	131.20	NA	131.40	132.60	NA	NA																					
SJ	88.00	ABCO	48.00	47.00	N	2015.00	NA	1.00	10.50	NA	11.40	11.90	11.70	12.30																					
SJ	89.00	ABMA	47.00	48.00	N	2015.00	NA	1.00	2.50	NA	2.50	2.10	NA	2.00																					
SJ	90.00	ABCO	50.00	46.00	N	2015.00	NA	1.00	7.30	NA	7.70	8.10	7.90	9.70																					
SJ	91.00	ABCO	49.00	45.50	N	2015.00	NA	1.00	13.70	NA	13.90	14.50	14.70	15.20																					
SJ	92.00	ABCO	49.00	45.50	N	2015.00	NA	1.00	2.20	NA	2.60	2.50	2.60	2.70																					
SJ	93.00	ABCO	11.00	70.00	N	2015.00	NA	1.00	17.50	NA	17.60	17.60	17.80	17.80																					
SJ	94.00	ABCO	11.00	67.50	N	2015.00	NA	1.00	7.90	NA	7.50	7.40	8.10	7.80																					
SJ	95.00	ABCO	11.00	65.50	N	2015.00	NA	1.00	10.60	NA	10.20	10.20	10.10	11.20																					
SJ	96.00	ABCO	11.00	65.00	N	2015.00	2017.00	1.00	5.40	NA	5.50	NA	NA	NA																					
SJ	97.00	ABCO	11.00	64.00	N	2015.00	NA	1.00	16.50	NA	16.30	16.50	16.50	17.20																					
SJ	98.00	ABCO	11.50	64.00	N	2015.00	NA	1.00	20.50	NA	21.50	20.60	21.50	21.50																					
SJ	99.00	ABCO	13.50	62.00	N	2015.00	2018.00	1.00	4.70	NA	4.80	5.50	4.60	NA																					
SJ	100.00	ABCO	14.00	64.00	N	2015.00	NA	1.00	7.20	NA	7.60	7.50	7.60	8.00																					
SJ	101.00	ABMA	11.50	10.00	N	2015.00	NA	1.00	71.00	NA	71.50	75.60	73.20	72.50																					
SJ	102.00	ABMA	11.50	11.00	N	2015.00	NA	1.00	41.60	NA	41.40	41.30	41.20	41.70																					
SJ	103.00	ABCO	11.00	13.00	N	2015.00	NA	1.00	18.80	NA	19.60	21.10	20.60	22.20																					
SJ	104.00	ABCO	9.00	13.00	N	2015.00	2019.00	1.00	6.70	NA	8.10	8.80	8.30	8.60																					
SJ	105.00	ABCO	8.50	14.00	N	2015.00	NA	1.00	12.20	NA	12.70	13.40	13.50	15.70																					
SJ	106.00	ABMA	10.50	16.00	N	2015.00	2016.00	1.00	107.40	NA	107.00	NA	NA	NA																					
SJ	107.00	ABCO	14.00	16.00	N	2015.00	NA	1.00	31.30	NA	31.60	32.20	33.40	34.40																					
SJ	107.00	ABCO	14.00	16.00	N	2015.00	NA	2.00	NA	NA	6.70	7.60	6.80	7.10																					
SJ	108.00	ABCO	10.00	19.50	N	2015.00	NA	1.00	2.10	NA	2.30	2.60	2.90	2.50																					
SJ	109.00	ABCO	13.00	20.50	N	2015.00	NA	1.00	6.80	NA	7.00	7.40	7.70	8.90																					
SJ	110.00	ABCO	13.00	21.00	N	2015.00	NA	1.00	4.50	NA	4.90	5.00	5.40	5.50																					
SJ	111.00	ABCO	12.50	21.00	N	2015.00	NA	1.00	2.60	NA	2.60	2.60	2.80	3.40																					
SJ	112.00	ABMA	11.00	21.00	N	2015.00	2018.00	1.00	3.00	NA	2.30	3.30	2.00	NA																					
SJ	113.00	ABMA	14.00	23.00	N	2015.00	NA	1.00	2.50	NA	2.40	2.40	2.90	3.40																					
SJ	114.00	ABCO	12.00	24.50	N	2015.00	NA	1.00	4.20	NA	5.20	5.00	5.60	6.20																					
SJ	115.00	ABCO	9.00	22.00	N	2015.00	NA	1.00	16.50	NA	17.20	17.00	17.60	18.50																					
SJ	116.00	ABCO	9.50	22.00	N	2015.00	NA	1.00	NA	NA	NA	NA	NA	4.20																					
SJ	117.00	ABCO	7.00	24.00	N	2015.00	NA	1.00	22.30	NA	23.10	23.60	24.40	25.10																					
SJ	118.00	ABCO	1.00	26.00	N	2015.00	NA	1.00	53.80	NA	54.30	54.70	55.00	55.30																					
SJ	119.00	ABCO	3.00	28.00	N	2015.00	NA	1.00	12.20	NA	11.50	12.00	11.80	11.80																					
SJ	119.00	ABCO	3.00	28.00	N	2015.00	NA	2.00	12.20	NA	5.00	5.40	5.50	5.50																					
SJ	120.00	ABMA	7.00	29.00	Y	2015.00	2019.00	1.00	108.50	NA	108.30	110.30	110.30	110.10																					
SJ	121.00	ABCO	8.00	29.50	N	2015.00	NA	1.00	15.00	NA	15.30	15.40	15.60	16.90																					
SJ	122.00	ABMA	8.00	31.00	N	2015.00	2019.00	1.00	85.70	NA	87.10	87.90	98.10	90.20																					
SJ	123.00	ABCO	10.00	31.00	N	2015.00	2018.00	1.00	6.10	NA	7.00	6.80	7.90	NA																					
SJ	124.00	PILA	12.00	25.00	N	2015.00	NA	1.00	14.10	NA	14.90	15.40	16.40	18.50																					
SJ	125.00	ABCO	9.50	24.00	N	2015.00	NA	1.00	2.10	NA	1.60	2.80	1.90	3.20																					
SJ	126.00	ABCO	18.00	22.00	N	2015.00	NA	1.00	27.20	NA	27.70	28.80	29.30	30.10																					
SJ	127.00	ABCO	20.00	28.00	N	2015.00	NA	1.00	14.80	NA	14.70	14.70	15.30	16.40																					
SJ	128.00	ABCO	21.00	27.00	N	2015.00	NA	1.00	11.30	NA	12.20	11.80	12.20	13.30																					
SJ	129.00	ABCO	21.00	25.50	N	2015.00	NA	1.00	6.20	NA	6.60	7.00	6.50	6.70																					
SJ	130.00	ABCO	21.00	26.00	N	2015.00	NA	1.00	9.50	NA	9.60	9.50	9.80	9.90																					
SJ	131.00	ABCO	21.00	27.00	N	2015.00	NA	1.00	8.60	NA	8.90	9.00	9.00	9.40																					
SJ	132.00	ABCO	23.00	25.00	N	2015.00	NA	1.00	8.40	NA	8.50	8.90	8.80	9.80																					
SJ	132.00	ABCO	23.00	25.50	N	2015.00	NA	2.00	NA	NA	6.10	7.80	7.10	7.00																					
SJ	133.00	ABCO	24.00	25.50	N	2015.00	NA	1.00	29.80	NA	31.20	30.80	31.30	33.00																					
SJ	134.00	ABCO	24.00	26.00	N	2015.00	NA	1.00	16.50	NA	16.60	17.20	16.80	17.80																					
SJ	135.00	ABCO	24.00	28.00	N	2015.00	NA	1.00	14.20	NA	14.70	14.60	14.70	15.50																					
SJ	136.00	ABCO	25.00	27.50	N	2015.00	NA	1.00	9.50	NA	10.50	9.90	NA	9.80																					
SJ	137.00	ABCO	24.50	26.50	N	2015.00	2019.00	1.00	8.50	NA	8.90	9.00	8.60	8.80																					
SJ	138.00	ABCO	24.00	29.00	N	2015.00	NA	1.00	27.80	NA	28.50	28.70	29.50	30.50																					
SJ	139.00	ABCO	23.00	29.00	N	2015.00	NA	1.00	7.20	NA	7.90	7.40	8.10	7.70																					
SJ	140.00	ABCO	21.00	25.00	N	2015.00	2018.00	1.00	7.30	NA	7.20	7.70	8.00	NA																					
SJ	141.00	ABMA	16.00	33.00	N	2018.00	NA	1.00	NA	NA	NA	NA	9.80	11.10																					
SJ	142.00	ABCO	26.50	25.50	N	2015.00	NA	1.00	18.30	NA	19.20	19.30	19.80	20.50																					
SJ	143.00	ABCO	28.00	28.00	N	2015.00	NA	1.00	15.30	NA	16.30	15.90	16.10	17.50																					
SJ	144.00	ABCO	28.00	29.00	N	2015.00	2019.00	1.00	17.30	NA	17.70	17.50	17.60	17.80																					
SJ	145.00	ABCO	31.00	20.50	N	2015.00	NA	1.00	3.00	NA	3.40	3.20	2.50	4.30																					
SJ	146.00	ABCO	31.00	21.00	N	2015.00	2018.00	1.00	5.50	NA	5.80	6.00	5.90	NA																					
SJ	147.00	ABCO	30.50	23.00	N	2015.00	2019.00	1.00	9.50	NA	8.70	9.50	9.20	9.10																					
SJ	148.00	ABCO	31.00	22.50	N	2015.00	2017.00	1.00	7.20	NA	7.30	NA	NA	NA																					
SJ	149.00	ABCO	32.00	22.00	N	2015.00	NA	1.00	12.50	NA	12.20	12.50	13.00	13.30																					
SJ	150.00	ABCO	34.00	22.00	N	2015.00	NA	1.00	12.00	NA	12.20	11.80	12.30	12.20																					
SJ	151.00	ABCO	34.50	22.50	N	2015.00	NA	1.00	21.80	NA	22.30	22.60	23.80	23.80																					
SJ	152.00	ABCO	34.00	23.00	N	2015.00	NA	1.00	12.20	NA	11.90	12.10	12.10	12.80																					
SJ	153.00	ABCO	36.00	23.00	N	2015.00	2019.00	1.00	14.30	NA	14.30	15.40	14.70	14.30																					
SJ	154.00	ABCO	37.00	24.00	N	2015.00	2018.00	1.00	4.70	NA	4.40	4.60	4.30	NA																					
SJ	155.00	ABCO	34.00	25.00	N	2015.00	NA	1.00	12.50	NA	12.80	13.90	13.20	13.70																					
SJ	156.00	ABCO	35.00	25.00	N	2015.00	NA	1.00	12.20	NA	12.00	12.10	12.30	12.60																					
SJ	157.00	ABCO	38.00	26.00	Y	2015.00	NA	1.00	55.50	NA	55.80	56.00	56.00	57.00																					
SJ	158.00	ABCO	33.00	28.00	N	2015.00	NA	1.00	12.60	NA	13.10	13.00	13.50	13.20																					
SJ	158.00	ABCO	33.00	28.00	N	2015.00	NA	2.00	12.60	NA	11.30	10.90	10.50	10.10																					
SJ	159.00	ABCO	33.00	33.00	N	2015.00	NA	1.00	8.70	NA	9.40	9.40	10.00	10.70																					
SJ	160.00	ABCO	31.00	32.00	Y	2015.00	NA	1.00	144.70	NA	144.30	147.20	144.90	144.80																					
SJ	161.00	ABCO	5.00	41.00	N	2015.00	NA	1.00	42.00	NA	42.00	43.20	43.90	44.90																					
SJ	162.00	ABCO	1.00	46.00	N	2015.00	NA	1.00	18.80	NA	18.40	19.00	18.50	18.80																					
SJ	163.00	ABCO	2.00	48.00	N	2015.00	NA	1.00	19.00	NA	18.70	18.80	19.50	19.80																					
SJ	164.00	ABCO	2.00	49.00	N	2015.00	NA	1.00	23.10	NA	23.30	23.40	23.90	24.20																					
SJ	165.00	ABCO	2.00	50.00	N	2015.00	NA	1.00	28.80	NA	32.30	31.70	32.00	32.40																					
SJ	166.00	ABCO	0.00	49.00	N	2015.00	NA	1.00	21.20	NA	21.70	21.70	21.90	22.40																					
SJ	169.00	ABCO	2.00	56.00	N	2015.00	NA	1.00	NA	NA	1.30	2.10	1.50	1.50																					
SJ	170.00	ABMA	1.50	58.00	N	2015.00	2018.00	1.00	14.20	NA	14.30	14.00	14.30	NA																					
SJ	171.00	ABCO	10.00	56.00	N	2015.00	2018.00	1.00	112.50	NA	112.80	113.40	112.90	NA																					
SJ	172.00	ABCO	11.00	56.00	N	2015.00	NA	1.00	19.50	NA	20.40	20.40	20.50	20.30																					
SJ	173.00	ABCO	11.00	55.50	N	2015.00	NA	1.00	32.40	NA	33.40	33.00	33.30	33.80																					
SJ	174.00	ABCO	8.00	45.00	N	2015.00	NA	1.00	49.80	NA	50.40	50.40	51.00	52.00																					
SJ	175.00	ABCO	7.00	44.00	N	2015.00	NA	1.00	19.40	NA	20.00	19.40	20.10	20.20																					
SJ	176.00	ABCO	9.00	41.00	N	2015.00	NA	1.00	30.60	NA	30.30	30.30	30.70	31.10																					
SJ	177.00	ABCO	11.00	42.00	N	2015.00	NA	1.00	39.50	NA	40.20	40.30	40.80	42.00																					
SJ	178.00	ABCO	10.00	45.00	N	2015.00	NA	1.00	23.40	NA	22.70	22.90	23.20	23.20																					
SJ	179.00	ABCO	14.00	44.00	N	2015.00	NA	1.00	49.70	NA	50.40	50.00	50.40	50.90																					
SJ	180.00	ABCO	13.50	45.00	N	2015.00	NA	1.00	18.00	NA	18.20	18.30	18.50	18.50																					
SJ	181.00	ABCO	13.00	46.00	N	2015.00	NA	1.00	13.20	NA	12.50	12.30	12.50	12.80																					
SJ	182.00	ABCO	15.00	48.00	N	2015.00	2018.00	1.00	28.00	NA	28.50	28.10	28.00	NA																					
SJ	183.00	ABCO	14.00	47.00	N	2015.00	NA	1.00	40.40	NA	41.00	41.00	41.20	41.60																					
SJ	184.00	ABCO	17.00	48.00	N	2015.00	2018.00	1.00	15.20	NA	15.30	15.20	15.20	NA																					
SJ	185.00	ABCO	16.50	45.00	N	2015.00	NA	1.00	32.30	NA	32.20	32.50	32.60	33.10																					
SJ	186.00	ABCO	16.50	40.00	N	2015.00	2016.00	1.00	4.60	NA	4.60	NA	NA	NA																					
SJ	187.00	ABCO	19.00	58.00	N	2015.00	NA	1.00	23.20	NA	23.70	23.80	NA	247.80																					
SJ	550.00	ABCO	3.00	63.00	N	2015.00	NA	1.00	58.60	NA	58.50	59.50	59.70	59.50																					
SJ	189.00	ABMA	3.00	66.00	N	2015.00	NA	1.00	91.60	NA	92.10	92.50	92.70	93.20																					
SJ	190.00	ABCO	7.00	63.00	N	2015.00	2017.00	1.00	4.80	NA	4.30	4.70	NA	NA																					
SJ	191.00	ABMA	6.50	68.00	N	2015.00	2017.00	1.00	8.40	NA	8.40	8.50	NA	NA																					
SJ	192.00	ABCO	7.00	69.00	N	2015.00	2018.00	1.00	2.70	NA	2.70	3.40	2.70	NA																					
SJ	193.00	ABCO	6.00	66.00	N	2015.00	2019.00	1.00	4.80	NA	4.70	4.60	4.60	5.50																					
SJ	194.00	ABCO	6.00	66.50	N	2015.00	NA	1.00	14.50	NA	14.60	15.50	15.10	15.80																					
SJ	195.00	ABCO	8.00	66.00	N	2015.00	NA	1.00	9.10	NA	9.60	9.50	9.80	9.50																					
SJ	196.00	ABCO	8.00	65.50	N	2015.00	NA	1.00	14.00	NA	13.90	13.70	13.70	14.30																					
SJ	197.00	ABCO	8.00	65.00	N	2015.00	2018.00	1.00	14.40	NA	14.50	14.00	14.20	NA																					
SJ	198.00	ABCO	6.50	69.00	N	2015.00	NA	1.00	15.30	NA	15.50	15.00	15.70	15.60																					
SJ	199.00	ABCO	7.00	70.00	N	2015.00	NA	1.00	11.30	NA	11.10	11.50	12.00	11.90																					
SJ	200.00	ABCO	7.50	69.00	N	2015.00	NA	1.00	19.00	NA	18.90	19.10	19.00	20.00																					
SJ	201.00	ABCO	42.00	2.00	N	2015.00	NA	1.00	NA	NA	7.10	7.30	7.50	8.50																					
SJ	202.00	ABCO	44.00	0.00	N	2015.00	NA	1.00	NA	NA	6.70	7.00	7.20	7.90																					
SJ	203.00	ABCO	44.00	2.50	N	2015.00	NA	1.00	NA	NA	27.40	28.00	28.40	28.90																					
SJ	204.00	ABMA	44.50	4.50	N	2015.00	NA	1.00	NA	NA	14.20	14.70	15.20	15.90																					
SJ	205.00	ABMA	49.00	6.50	N	2015.00	NA	1.00	NA	NA	22.90	23.80	22.90	24.60																					
SJ	206.00	PILA	49.00	6.00	N	2015.00	NA	1.00	NA	NA	2.10	2.60	NA	2.50																					
SJ	207.00	ABCO	58.00	5.00	N	2015.00	2017.00	1.00	NA	NA	121.20	121.40	NA	NA																					
SJ	208.00	ABCO	56.00	9.00	N	2015.00	NA	1.00	38.30	NA	39.50	41.30	40.80	43.00																					
SJ	209.00	ABMA	53.00	10.00	N	2015.00	NA	1.00	NA	NA	7.90	9.00	7.50	7.50																					
SJ	210.00	ABCO	50.00	12.00	N	2015.00	NA	1.00	NA	NA	22.70	23.70	24.00	25.20																					
SJ	211.00	ABCO	56.00	15.00	N	2015.00	NA	1.00	NA	NA	10.10	10.20	10.70	11.80																					
SJ	211.00	ABCO	56.00	15.00	N	2015.00	NA	2.00	NA	NA	4.40	4.50	4.90	4.60																					
SJ	212.00	ABMA	67.00	17.00	N	2015.00	NA	1.00	NA	NA	31.30	31.20	31.10	31.90																					
SJ	213.00	ABCO	48.00	17.00	N	2015.00	NA	1.00	NA	NA	18.80	19.30	20.90	21.00																					
SJ	214.00	ABCO	47.50	18.00	N	2015.00	NA	1.00	NA	NA	4.20	4.70	NA	5.50																					
SJ	215.00	ABCO	44.50	18.00	N	2015.00	NA	1.00	NA	NA	12.90	13.50	13.70	14.80																					
SJ	216.00	ABCO	41.00	18.00	N	2015.00	NA	1.00	NA	NA	6.50	6.10	5.90	6.20																					
SJ	217.00	ABCO	42.00	17.00	N	2015.00	NA	1.00	NA	NA	8.30	9.10	9.10	9.40																					
SJ	218.00	ABMA	40.00	21.00	N	2015.00	NA	1.00	NA	NA	3.70	3.90	3.70	4.30																					
SJ	219.00	ABCO	42.00	20.00	N	2015.00	NA	1.00	4.60	NA	5.30	5.00	5.40	5.90																					
SJ	220.00	ABCO	39.00	22.00	N	2015.00	NA	1.00	17.10	NA	17.50	17.80	18.20	18.80																					
SJ	221.00	ABCO	40.00	22.00	N	2015.00	2019.00	1.00	12.50	NA	14.30	13.80	14.30	14.50																					
SJ	222.00	ABCO	41.00	22.00	N	2015.00	NA	1.00	8.20	NA	8.40	8.40	8.50	9.20																					
SJ	223.00	ABCO	43.00	23.00	N	2015.00	NA	1.00	2.20	NA	2.30	2.50	2.60	2.80																					
SJ	224.00	ABCO	40.00	22.50	N	2015.00	NA	1.00	10.70	NA	10.70	11.70	11.20	11.00																					
SJ	225.00	ABCO	40.00	23.00	N	2015.00	NA	1.00	10.30	NA	10.30	11.00	11.00	11.00																					
SJ	226.00	ABMA	40.00	23.50	N	2015.00	2018.00	1.00	5.40	NA	5.70	5.00	4.70	NA																					
